#,Kanji,Radical,# Strokes,Grade,Meaning,Readings
314,軌 ,車 ,9,S ,rut ,キ
315,既 ,无 ,10,S ,previously ,キ、すで-に
318,飢 ,食 ,10,S ,hungry ,キ、う-える
319,鬼 ,鬼 ,10,S ,ghost ,キ、おに
324,亀 ,龜 ,11,S ,turtle ,キ、かめ
326,幾 ,幺 ,12,S ,how many ,キ、いく
329,棋 ,木 ,12,S ,chess piece ,キ
331,棄 ,木 ,13,S ,abandon ,キ
332,毀 ,殳 ,13,S ,destroy ,キ
335,畿 ,田 ,15,S ,capital ,キ
336,輝 ,車 ,15,S ,radiance ,キ、かがや-く
338,騎 ,馬 ,18,S ,equestrian ,キ
340,宜 ,宀 ,8,S ,best regards ,ギ
341,偽 ,人 ,11,S ,falsehood ,ギ、いつわ-る、にせ
342,欺 ,欠 ,12,S ,deceit ,ギ、あざむ-く
345,儀 ,人 ,15,S ,ceremony ,ギ
346,戯 ,戈 ,15,S ,frolic ,ギ、たわむ-れる
347,擬 ,手 ,17,S ,mimic ,ギ
348,犠 ,牛 ,17,S ,sacrifice ,ギ
350,菊 ,艸 ,11,S ,chrysanthemum ,キク
351,吉 ,口 ,6,S ,good luck ,キチ、キツ
352,喫 ,口 ,12,S ,consume ,キツ
353,詰 ,言 ,13,S ,packed ,キツ、つ-める、つ-まる、つ-む
354,却 ,卩 ,7,S ,instead ,キャク
356,脚 ,肉 ,11,S ,leg ,キャク、（キャ）、あし
358,虐 ,虍 ,9,S ,tyrannize ,ギャク、しいた-げる
361,及 ,又 ,3,S ,reach out ,キュウ、およ-ぶ、およ-び、およ-ぼす
363,丘 ,一 ,5,S ,hill ,キュウ、おか
367,朽 ,木 ,6,S ,decay ,キュウ、く-ちる
368,臼 ,臼 ,6,S ,mortar ,キュウ、うす
374,糾 ,糸 ,9,S ,twist ,キュウ
379,嗅 ,口 ,13,S ,smell ,キュウ、か-ぐ
380,窮 ,穴 ,15,S ,hard up ,キュウ、きわ-める、きわ-まる
383,巨 ,工 ,5,S ,gigantic ,キョ
385,拒 ,手 ,8,S ,repel ,キョ、こば-む
386,拠 ,手 ,8,S ,foothold ,キョ、コ
388,虚 ,虍 ,11,S ,void ,キョ、（コ）
390,距 ,足 ,12,S ,long-distance ,キョ
392,御 ,彳 ,12,S ,honorable ,ギョ、ゴ、おん
394,凶 ,凵 ,4,S ,villain ,キョウ
396,叫 ,口 ,6,S ,shout ,キョウ、さけ-ぶ
397,狂 ,犬 ,7,S ,lunatic ,キョウ、くる-う、くる-おしい
399,享 ,亠 ,8,S ,receive ,キョウ
402,況 ,水 ,8,S ,condition ,キョウ
403,峡 ,山 ,9,S ,gorge ,キョウ
404,挟 ,手 ,9,S ,pinch ,キョウ、はさ-む、はさ-まる
405,狭 ,犬 ,9,S ,cramped ,キョウ、せま-い、せば-める、せば-まる
406,恐 ,心 ,10,S ,fear ,キョウ、おそ-れる、おそ-ろしい
407,恭 ,心 ,10,S ,respect ,キョウ、うやうや-しい
409,脅 ,肉 ,10,S ,threaten ,キョウ、おびや-かす、おど-す、おど-かす
415,矯 ,矢 ,17,S ,rectify ,キョウ、た-める
418,響 ,音 ,20,S ,echo ,キョウ、ひび-く
419,驚 ,馬 ,22,S ,wonder ,キョウ、おどろ-く、おどろ-かす
420,仰 ,人 ,6,S ,face-up ,ギョウ、（コウ）、あお-ぐ、おお-せ
421,暁 ,日 ,12,S ,daybreak ,ギョウ、あかつき
423,凝 ,冫 ,16,S ,congeal ,ギョウ、こ-る、こ-らす
428,巾 ,巾 ,3,S ,towel ,キン
429,斤 ,斤 ,4,S ,axe ,キン
433,菌 ,艸 ,11,S ,germ ,キン
435,琴 ,玉 ,12,S ,harp ,キン、こと
437,僅 [7] ,人 ,13,S ,a wee bit ,キン、わず-か
439,緊 ,糸 ,15,S ,tense ,キン
440,錦 ,金 ,16,S ,brocade ,キン、にしき
441,謹 ,言 ,17,S ,discreet ,キン、つつし-む
442,襟 ,衣 ,18,S ,collar ,キン、えり
443,吟 ,口 ,7,S ,versify ,ギン
448,駆 ,馬 ,14,S ,drive ,ク、か-ける、か-る
450,惧 ,心 ,11,S ,dread ,グ
451,愚 ,心 ,13,S ,foolish ,グ、おろ-か
453,偶 ,人 ,11,S ,accidentally ,グウ
454,遇 ,辵 ,12,S ,interview ,グウ
455,隅 ,阜 ,12,S ,corner ,グウ、すみ
456,串 ,丨 ,7,S ,skewer ,くし
457,屈 ,尸 ,8,S ,yield ,クツ
458,掘 ,手 ,11,S ,dig ,クツ、ほ-る
459,窟 ,穴 ,13,S ,cavern ,クツ
460,熊 ,火 ,14,S ,bear ,くま
461,繰 ,糸 ,19,S ,winding ,く-る
464,勲 ,力 ,15,S ,meritorious deed ,クン
465,薫 ,艸 ,16,S ,fragrant ,クン、かお-る
470,刑 ,刀 ,6,S ,punish ,ケイ
474,茎 ,艸 ,8,S ,stalk ,ケイ、くき
477,契 ,大 ,9,S ,pledge ,ケイ、ちぎ-る
479,恵 ,心 ,10,S ,favor ,ケイ、エ、めぐ-む
480,啓 ,口 ,11,S ,disclose ,ケイ
481,掲 ,手 ,11,S ,put up (a notice) ,ケイ、かか-げる
482,渓 ,水 ,11,S ,mountain stream ,ケイ
484,蛍 ,虫 ,11,S ,lightning-bug ,ケイ、ほたる
488,傾 ,人 ,13,S ,lean ,ケイ、かたむ-く、かたむ-ける
489,携 ,手 ,13,S ,portable ,ケイ、たずさ-える、たずさ-わる
490,継 ,糸 ,13,S ,inherit ,ケイ、つ-ぐ
491,詣 ,言 ,13,S ,visit a temple ,ケイ、もう-でる
492,慶 ,心 ,15,S ,jubilation ,ケイ
493,憬 ,心 ,15,S ,long for ,ケイ
494,稽 ,禾 ,15,S ,consider ,ケイ
495,憩 ,心 ,16,S ,recess ,ケイ、いこ-い、いこ-う
497,鶏 ,鳥 ,19,S ,chicken ,ケイ、にわとり
499,迎 ,辵 ,7,S ,welcome ,ゲイ、むか-える
500,鯨 ,魚 ,19,S ,whale ,ゲイ、くじら
501,隙 ,阜 ,13,S ,fissure ,ゲキ、すき
503,撃 ,手 ,15,S ,beat ,ゲキ、う-つ
505,桁 ,木 ,10,S ,beam ,けた
511,傑 ,人 ,13,S ,greatness ,ケツ
518,肩 ,肉 ,8,S ,shoulder ,ケン、かた
522,倹 ,人 ,10,S ,frugal ,ケン
523,兼 ,八 ,10,S ,concurrently ,ケン、か-ねる
524,剣 ,刀 ,10,S ,sabre ,ケン、つるぎ
525,拳 ,手 ,10,S ,fist ,ケン、こぶし
526,軒 ,車 ,10,S ,flats ,ケン、のき
529,圏 ,囗 ,12,S ,sphere ,ケン
530,堅 ,土 ,12,S ,strict ,ケン、かた-い
532,嫌 ,女 ,13,S ,dislike ,ケン、（ゲン）、きら-う、いや
533,献 ,犬 ,13,S ,offering ,ケン、（コン）
535,遣 ,辵 ,13,S ,dispatch ,ケン、つか-う、つか-わす
538,賢 ,貝 ,16,S ,intelligent ,ケン、かしこ-い
539,謙 ,言 ,17,S ,self-effacing ,ケン
540,鍵 ,金 ,17,S ,key ,ケン、かぎ
541,繭 ,糸 ,18,S ,cocoon ,ケン、まゆ
542,顕 ,頁 ,18,S ,appear ,ケン
544,懸 ,心 ,20,S ,suspend ,ケン、（ケ）、か-ける、か-かる
546,幻 ,幺 ,4,S ,phantasm ,ゲン、まぼろし
547,玄 ,玄 ,5,S ,mysterious ,ゲン
549,弦 ,弓 ,8,S ,bowstring ,ゲン、つる
553,舷 ,舟 ,11,S ,gunwale ,ゲン
562,股 ,肉 ,8,S ,crotch ,コ、また
563,虎 ,虍 ,8,S ,tiger ,コ、とら
564,孤 ,子 ,9,S ,orphan ,コ
565,弧 ,弓 ,9,S ,arc ,コ
567,枯 ,木 ,9,S ,wither ,コ、か-れる、か-らす
571,雇 ,隹 ,12,S ,employ ,コ、やと-う
572,誇 ,言 ,13,S ,boast ,コ、ほこ-る
573,鼓 ,鼓 ,13,S ,drum ,コ、つづみ
574,錮 ,金 ,16,S ,tie up ,コ
575,顧 ,頁 ,21,S ,look back ,コ、かえり-みる
577,互 ,二 ,4,S ,mutually ,ゴ、たが-い
579,呉 ,口 ,7,S ,give ,ゴ
581,娯 ,女 ,10,S ,recreation ,ゴ
582,悟 ,心 ,10,S ,enlightenment ,ゴ、さと-る
583,碁 ,石 ,13,S ,Go ,ゴ
590,勾 ,勹 ,4,S ,capture ,コウ
591,孔 ,子 ,4,S ,cavity ,コウ
593,巧 ,工 ,5,S ,adroit ,コウ、たく-み
